Part,Value,Description,Package,Manufacturer,Manufacturer Part Number,Supplier,Order code,Notes,URL
C2,47p,Capacitor,0603,KEMET,C0603X470J1GACTU,Farnell,2905080,±5% C0G / NP0,https://uk.farnell.com/kemet/c0603x470j1gactu/cap-47pf-100v-5-c0g-np0-0603/dp/2905080
C3,47p,Capacitor,0603,KEMET,C0603X470J1GACTU,Farnell,2905080,±5% C0G / NP0,https://uk.farnell.com/kemet/c0603x470j1gactu/cap-47pf-100v-5-c0g-np0-0603/dp/2905080
C10,10n,Capacitor,0603,KEMET,C0603X103J8JACTU,Farnell,2579112,±5% U2J,http://uk.farnell.com/kemet/c0603x103j8jactu/capacitor-mlcc-u2j-0-01uf-10v/dp/2579112
C1,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
C4,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
C5,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
C7,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
C8,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
C11,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
C12,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
C14,0.1u,Capacitor,0603,KEMET,C0603X104K8RACTU,Farnell,2904937,±10% X7R,https://uk.farnell.com/kemet/c0603x104k8ractu/cap-0-1-f-10v-10-x7r-0603/dp/2904937
